# Pre-study run, pilot round 1 CFO, collected 2026-08-08 under prompt version
# structured_v1_icaira. Excluded from the primary population under PROTOCOL.md
# section 2 because prompts/ and schemas/ changed afterwards. See DEVIATIONS.md.
run_id,attempt_id,attempt_type,collection_round,execution_position,phase,provider,adapter,api_model_id,snapshot,reported_model,provider_request_id,requested_at_utc,card_id,card_hash,prompt_version,request_hash,system_prompt_hash,matrix_hash,pair_order_hash,requested_temperature,top_p,seed,latency_ms,input_tokens,output_tokens,raw_response_path,transport_status,validation_status,schema_error_codes
S_P-CFO-3_moonshot_01,S_P-CFO-3_moonshot_01_initial,initial,1,35,decision,moonshot,openai_compatible,kimi-k3,,kimi-k3,chatcmpl-6a76acc53ba64a33795ffef0,2026-08-08T04:14:07+00:00,P-CFO-3,c9c78252f7ebf63d,structured_v1_icaira,38b26ab03d57421f,40d212f0d19813a4,6c238c30b91f2778,aafb909e420d3d15,,,,73811,1232,3049,data/prestudy/raw/S_P-CFO-3_moonshot_01_initial.json,success,valid,
S_P-CFO-3_openai_01,S_P-CFO-3_openai_01_initial,initial,1,36,decision,openai,openai_compatible,gpt-5.6-sol,,gpt-5.6-sol,req_e3421385605545b2afda9f79041fc94c,2026-08-08T04:15:24+00:00,P-CFO-3,c9c78252f7ebf63d,structured_v1_icaira,38b26ab03d57421f,40d212f0d19813a4,6c238c30b91f2778,aafb909e420d3d15,,,,77575,1141,1686,data/prestudy/raw/S_P-CFO-3_openai_01_initial.json,success,valid,
S_P-CFO-1_anthropic_01,S_P-CFO-1_anthropic_01_initial,initial,1,43,decision,anthropic,anthropic,claude-opus-5,,claude-opus-5,req_011CdpdgLrjbv7CaYGzmJVMs,2026-08-08T04:15:40+00:00,P-CFO-1,e006caa74e4616b2,structured_v1_icaira,2e0aa8872e201093,40d212f0d19813a4,6c238c30b91f2778,aafb909e420d3d15,,,,16216,1916,1366,data/prestudy/raw/S_P-CFO-1_anthropic_01_initial.json,success,valid,
S_P-CFO-5_xai_01,S_P-CFO-5_xai_01_initial,initial,1,44,decision,xai,openai_compatible,grok-4.5,,grok-4.5,a2d46c29-c633-962b-8563-caf3173c24b7,2026-08-08T04:16:19+00:00,P-CFO-5,f72549462a7c2f39,structured_v1_icaira,a7ed7a679c0c08ac,40d212f0d19813a4,6c238c30b91f2778,aafb909e420d3d15,,,,39001,1427,1217,data/prestudy/raw/S_P-CFO-5_xai_01_initial.json,success,valid,
S_P-CFO-1_google_01,S_P-CFO-1_google_01_initial,initial,1,45,decision,google,google,gemini-3.1-pro-preview,,gemini-3.1-pro-preview,,2026-08-08T04:16:39+00:00,P-CFO-1,e006caa74e4616b2,structured_v1_icaira,2e0aa8872e201093,40d212f0d19813a4,6c238c30b91f2778,aafb909e420d3d15,,,,19937,1302,1366,data/prestudy/raw/S_P-CFO-1_google_01_initial.json,success,valid,
S_P-CFO-2_anthropic_01,S_P-CFO-2_anthropic_01_initial,initial,1,52,decision,anthropic,anthropic,claude-opus-5,,claude-opus-5,req_011Cdpdmt2c6rXyq9Tky8KpA,2026-08-08T04:16:56+00:00,P-CFO-2,010d287902686b2b,structured_v1_icaira,a2fb67eadccbe620,40d212f0d19813a4,6c238c30b91f2778,aafb909e420d3d15,,,,16728,1956,1433,data/prestudy/raw/S_P-CFO-2_anthropic_01_initial.json,success,invalid,E_JSON
S_P-CFO-2_anthropic_01,S_P-CFO-2_anthropic_01_schema_repair,schema_repair,1,52,decision,anthropic,anthropic,claude-opus-5,,claude-opus-5,req_011Cdpdo7RYQsKASRdz5shFc,2026-08-08T04:17:11+00:00,P-CFO-2,010d287902686b2b,structured_v1_icaira,a2fb67eadccbe620,40d212f0d19813a4,6c238c30b91f2778,aafb909e420d3d15,,,,14864,2036,1366,data/prestudy/raw/S_P-CFO-2_anthropic_01_schema_repair.json,success,repaired_valid,
S_P-CFO-2_xai_01,S_P-CFO-2_xai_01_initial,initial,1,56,decision,xai,openai_compatible,grok-4.5,,grok-4.5,f703f6cd-b409-9818-8b53-bdacad384c32,2026-08-08T04:17:51+00:00,P-CFO-2,010d287902686b2b,structured_v1_icaira,a2fb67eadccbe620,40d212f0d19813a4,6c238c30b91f2778,aafb909e420d3d15,,,,40375,1457,1248,data/prestudy/raw/S_P-CFO-2_xai_01_initial.json,success,valid,
S_P-CFO-5_anthropic_01,S_P-CFO-5_anthropic_01_initial,initial,1,57,decision,anthropic,anthropic,claude-opus-5,,claude-opus-5,req_011CdpdsBcurTbBKD1sCQJz4,2026-08-08T04:18:09+00:00,P-CFO-5,f72549462a7c2f39,structured_v1_icaira,a7ed7a679c0c08ac,40d212f0d19813a4,6c238c30b91f2778,aafb909e420d3d15,,,,17900,1934,1732,data/prestudy/raw/S_P-CFO-5_anthropic_01_initial.json,success,valid,
S_P-CFO-1_openai_01,S_P-CFO-1_openai_01_initial,initial,1,63,decision,openai,openai_compatible,gpt-5.6-sol,,gpt-5.6-sol,req_5d02a67052b244b09fd18613ee0366ad,2026-08-08T04:18:41+00:00,P-CFO-1,e006caa74e4616b2,structured_v1_icaira,2e0aa8872e201093,40d212f0d19813a4,6c238c30b91f2778,aafb909e420d3d15,,,,31776,1193,2112,data/prestudy/raw/S_P-CFO-1_openai_01_initial.json,success,valid,
S_P-CFO-2_openai_01,S_P-CFO-2_openai_01_initial,initial,1,64,decision,openai,openai_compatible,gpt-5.6-sol,,gpt-5.6-sol,req_ec8f7702d0234b57ac420f6b138581d2,2026-08-08T04:19:03+00:00,P-CFO-2,010d287902686b2b,structured_v1_icaira,a2fb67eadccbe620,40d212f0d19813a4,6c238c30b91f2778,aafb909e420d3d15,,,,21986,1210,1497,data/prestudy/raw/S_P-CFO-2_openai_01_initial.json,success,valid,
S_P-CFO-2_moonshot_01,S_P-CFO-2_moonshot_01_initial,initial,1,68,decision,moonshot,openai_compatible,kimi-k3,,kimi-k3,chatcmpl-6a76ae38e9d7aa322ae3d2e7,2026-08-08T04:19:55+00:00,P-CFO-2,010d287902686b2b,structured_v1_icaira,a2fb67eadccbe620,40d212f0d19813a4,6c238c30b91f2778,aafb909e420d3d15,,,,52014,1301,2117,data/prestudy/raw/S_P-CFO-2_moonshot_01_initial.json,success,valid,
S_P-CFO-5_google_01,S_P-CFO-5_google_01_initial,initial,1,69,decision,google,google,gemini-3.1-pro-preview,,gemini-3.1-pro-preview,,2026-08-08T04:20:14+00:00,P-CFO-5,f72549462a7c2f39,structured_v1_icaira,a7ed7a679c0c08ac,40d212f0d19813a4,6c238c30b91f2778,aafb909e420d3d15,,,,18843,1288,1314,data/prestudy/raw/S_P-CFO-5_google_01_initial.json,success,valid,
S_P-CFO-5_openai_01,S_P-CFO-5_openai_01_initial,initial,1,73,decision,openai,openai_compatible,gpt-5.6-sol,,gpt-5.6-sol,req_2f7206a54511420f86f5386865e10385,2026-08-08T04:20:35+00:00,P-CFO-5,f72549462a7c2f39,structured_v1_icaira,a7ed7a679c0c08ac,40d212f0d19813a4,6c238c30b91f2778,aafb909e420d3d15,,,,21534,1181,1545,data/prestudy/raw/S_P-CFO-5_openai_01_initial.json,success,valid,
S_P-CFO-4_openai_01,S_P-CFO-4_openai_01_initial,initial,1,74,decision,openai,openai_compatible,gpt-5.6-sol,,gpt-5.6-sol,req_2b24ec2406ff43abb84d4549d36659f3,2026-08-08T04:21:02+00:00,P-CFO-4,4cc4c5550b47b72c,structured_v1_icaira,4365d334c6be76dd,40d212f0d19813a4,6c238c30b91f2778,aafb909e420d3d15,,,,27040,1171,1806,data/prestudy/raw/S_P-CFO-4_openai_01_initial.json,success,valid,
